"YEAR","JURISDICTION","Sum(FINES)","Licenses","Fines per 10K"
"2023","ACT",288,341420,8
"2022","ACT",374,334900,11
"2020","QLD",4823,3806397,13
"2023","NT",205,161361,13
"2024","NT",244,163416,15
"2021","ACT",544,326454,17
"2023","WA",3592,2132257,17
"2024","WA",3731,2194816,17
"2021","NT",309,159208,19
"2022","NT",302,159063,19
"2020","NT",380,157831,24
"2021","WA",4909,2036282,24
"2020","ACT",812,326495,25
"2015","ACT",873,312267,28
"2019","QLD",11580,3719766,31
"2022","WA",6346,2078263,31
"2015","NT",492,152268,32
"2021","VIC",15562,4895143,32
"2019","ACT",1098,329637,33
"2014","NT",517,150653,34
"2016","ACT",1120,328377,34
"2022","SA",4583,1329139,34
"2024","SA",4605,1362548,34
"2014","ACT",1115,314244,35
"2016","NT",535,154405,35
"2017","NT",546,156344,35
"2018","QLD",12828,3657643,35
"2021","SA",4799,1294479,37
"2020","WA",7889,2013336,39
"2022","VIC",19428,4968836,39
"2017","ACT",1299,324439,40
"2017","QLD",15043,3580836,42
"2018","ACT",1399,330574,42
"2023","SA",5769,1340060,43
"2013","ACT",1356,307834,44
"2020","VIC",21231,4807706,44
"2019","NSW",25463,5606175,45
"2022","TAS",1973,423676,47
"2020","TAS",1966,406437,48
"2021","QLD",18547,3888986,48
"2016","QLD",17213,3505706,49
"2019","NT",760,156344,49
"2020","SA",6325,1271958,50
"2012","NT",722,138077,52
"2011","NT",729,133035,55
"2018","NT",861,157296,55
"2021","TAS",2328,416263,56
"2012","ACT",1722,301841,57
"2023","TAS",2428,426528,57
"2012","TAS",2141,365359,59
"2019","TAS",2355,398452,59
"2019","WA",11850,1992380,59
"2019","SA",7567,1258216,60
"2016","VIC",27925,4474502,62
"2017","VIC",29293,4565595,64
"2011","WA",10485,1605793,65
"2024","TAS",2815,429865,65
"2013","NSW",33514,5060762,66
"2015","QLD",23048,3432171,67
"2018","TAS",2614,387773,67
"2014","NSW",34952,5142396,68
"2018","NSW",37653,5529185,68
"2018","SA",8471,1246015,68
"2018","VIC",32458,4665764,70
"2013","NT",1058,146404,72
"2015","NSW",37989,5245755,72
"2017","TAS",2738,380215,72
"2016","NSW",38918,5337947,73
"2014","QLD",25068,3384271,74
"2010","NT",998,132561,75
"2010","WA",11705,1566465,75
"2017","NSW",41020,5439711,75
"2014","WA",14377,1896560,76
"2016","WA",14926,1952879,76
"2015","VIC",33598,4384609,77
"2019","VIC",36694,4748539,77
"2011","ACT",2284,294174,78
"2013","WA",14563,1854446,79
"2013","TAS",2914,365295,80
"2013","QLD",27998,3374824,83
"2010","ACT",2407,287134,84
"2016","TAS",3191,379305,84
"2017","WA",16718,1965031,85
"2012","NSW",42900,4984973,86
"2012","QLD",28548,3301004,86
"2015","WA",16666,1928430,86
"2011","TAS",3241,367296,88
"2015","TAS",3273,370296,88
"2014","TAS",3256,366231,89
"2018","WA",17697,1977775,89
"2016","SA",11153,1219494,91
"2017","SA",11252,1232106,91
"2011","QLD",30389,3240939,94
"2011","NSW",46714,4893688,95
"2014","VIC",41448,4310687,96
"2023","VIC",49546,5097911,97
"2014","SA",11886,1196554,99
"2012","SA",11623,1151821,101
"2010","TAS",3735,363291,103
"2015","SA",12446,1206194,103
"2010","QLD",33013,3132341,105
"2024","VIC",55075,5260408,105
"2013","SA",12560,1183292,106
"2010","NSW",51104,4791490,107
"2012","WA",17822,1623226,110
"2011","SA",13402,1138713,118
"2013","VIC",52452,4228230,124
"2010","SA",14139,1130920,125
"2011","VIC",52630,4060582,130
"2010","VIC",54728,3978322,138
"2012","VIC",61497,4135725,149
"2024","QLD",75334,4154952,181
"2023","QLD",80292,4051724,198
"2024","NSW",161997,6166226,263
"2020","NSW",151725,5648327,269
"2021","NSW",174082,5775889,301
"2022","QLD",121639,3973138,306
"2022","NSW",207697,5960216,348
"2023","NSW",216042,6040358,358
"2024","ACT",27125,347892,780
